COUNTRY,SPADOC_CD,ORBITAL_TBA,ORBITAL_PAYLOAD_COUNT,ORBITAL_ROCKET_BODY_COUNT,ORBITAL_DEBRIS_COUNT,ORBITAL_TOTAL_COUNT,DECAYED_PAYLOAD_COUNT,DECAYED_ROCKET_BODY_COUNT,DECAYED_DEBRIS_COUNT,DECAYED_TOTAL_COUNT,COUNTRY_TOTAL
"IRAQ","IRAQ","0","1","0","0","1","0","0","0","0","1"
"ISRAEL","ISRA","0","15","0","0","15","29","11","1","41","56"
"ITALY","IT","0","93","1","0","94","44","1","2","47","141"
"INTERNATIONAL TELECOMMUNICATIONS SATELLITE ORGANIZATION (INTELSAT)","ITSO","0","92","0","38","130","1","0","0","1","131"
"HASHEMITE KINGDOM OF JORDAN","JOR","0","1","0","0","1","0","0","0","0","1"
"JAPAN","JPN","9","223","53","36","321","135","86","363","584","905"
"KAZAKHSTAN","KAZ","0","6","0","0","6","2","0","0","2","8"
"REPUBLIC OF KENYA","KEN","0","0","0","0","0","2","0","0","2","2"
"Kuwait","KWT","0","1","0","0","1","1","0","0","1","2"
"LAOS","LAOS","0","1","0","0","1","0","0","0","0","1"
"DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA","LKA","0","0","0","0","0","1","0","0","1","1"
"LITHUANIA","LTU","0","3","0","0","3","12","0","0","12","15"
"LUXEMBOURG","LUXE","0","12","0","0","12","13","0","0","13","25"
"MOROCCO","MA","0","4","0","0","4","0","0","0","0","4"
"MALAYSIA","MALA","0","9","0","0","9","0","0","0","0","9"
"Monaco","MCO","0","0","0","0","0","1","0","0","1","1"
"Moldova, Republic of","MDA","0","0","0","0","0","1","0","0","1","1"
"MEXICO","MEX","0","10","0","0","10","3","0","0","3","13"
"REPUBLIC OF THE UNION OF MYNAMAR","MMR","0","0","0","0","0","1","0","0","1","1"
"MONGOLIA","MNG","0","0","0","0","0","1","0","0","1","1"
"Mauritius","MUS","0","0","0","0","0","1","0","0","1","1"
"NORTH ATLANTIC TREATY ORGANIZATION","NATO","0","8","0","0","8","0","0","0","0","8"
"NETHERLANDS","NETH","0","7","0","0","7","9","0","0","9","16"
"NEW ICO","NICO","0","1","0","0","1","0","0","0","0","1"
"NIGERIA","NIG","0","5","0","0","5","1","0","0","1","6"
"NORTH KOREA","NKOR","0","1","1","0","2","2","2","2","6","8"
"NORWAY","NOR","0","26","0","0","26","2","0","0","2","28"
"FEDERAL DEMOCRATIC REPUBLIC OF NEPAL","NPL","0","0","0","0","0","1","0","0","1","1"
"NEW ZEALAND","NZ","1","1","0","0","2","24","0","0","24","26"
"O3B NETWORKS","O3B","0","20","0","0","20","0","0","0","0","20"
"ORBITAL TELECOMMUNICATIONS SATELLITE (GLOBALSTAR)","ORB","0","58","0","7","65","1","0","28","29","94"
"PAKISTAN","PAKI","0","8","0","0","8","1","0","0","1","9"
"PERU","PER","0","2","0","0","2","2","0","0","2","4"
"POLAND","POL","0","12","0","0","12","14","0","0","14","26"
"PORTUGAL","POR","0","6","0","0","6","1","0","0","1","7"
"PEOPLES REPUBLIC OF CHINA","PRC","265","1216","268","4190","5939","428","388","2316","3132","9071"
"Commonwealth of Puerto Rico","PRI","0","0","0","0","0","1","0","0","1","1"
"REPUBLIC OF PARAGUAY","PRY","0","0","0","0","0","1","0","0","1","1"
"STATE OF QATAR","QAT","0","2","0","0","2","0","0","0","0","2"
"REGIONAL AFRICAN SATELLITE COMMUNICATIONS ORG","RASC","0","2","0","0","2","0","0","0","0","2"
"ROMANIA","ROM","0","1","0","0","1","1","0","0","1","2"
"REPUBLIC OF PHILIPPINES","RP","0","2","0","0","2","6","0","0","6","8"
"REPUBLIC OF RWANDA","RWA","0","7","0","0","7","6","0","0","6","13"
"SOUTH AFRICA","SAFR","0","3","0","0","3","8","0","0","8","11"
"SAUDI ARABIA","SAUD","0","16","0","0","16","0","0","0","0","16"
"REPUBLIC OF SUDAN","SDN","0","0","0","0","0","1","0","0","1","1"
"SEA LAUNCH DEMO","SEAL","0","1","30","3","34","0","3","0","3","37"
"SOCIÉTÉ EUROPÉENNE DES SATELLITES","SES","0","78","0","0","78","1","0","0","1","79"
"SINGAPORE","SING","0","20","0","0","20","9","0","0","9","29"
"SOUTH KOREA","SKOR","15","53","4","0","72","7","1","0","8","80"
"Solomon Islands","SLB","0","1","0","0","1","0","0","0","0","1"
"SPAIN","SPN","0","54","0","0","54","39","0","0","39","93"
"SINGAPORE/TAIWAN","STCT","0","2","0","0","2","0","0","0","0","2"
"Slovakia","SVK","0","0","0","0","0","1","0","0","1","1"
"REPUBLIC OF SLOVENIA","SVN","0","2","0","0","2","1","0","0","1","3"
"SWEDEN","SWED","0","15","0","0","15","1","0","0","1","16"
"SWITZERLAND","SWTZ","0","9","0","0","9","13","0","0","13","22"
"TO BE DETERMINED/UNKNOWN","TBD","304","3","0","0","307","198","0","0","198","505"
"THAILAND","THAI","0","13","0","0","13","3","0","0","3","16"
"TURKMENISTAN/MONACO","TMMC","0","1","0","0","1","0","0","0","0","1"
"REPUBLIC OF TUNISIA","TUN","0","0","0","0","0","1","0","0","1","1"
"TURKEY","TURK","0","41","0","0","41","11","0","0","11","52"
"TAIWAN","TWN","0","30","0","0","30","9","0","2","11","41"
"UNITED ARAB EMIRATES","UAE","0","23","0","0","23","9","0","0","9","32"
"Uganda","UGA","0","0","0","0","0","1","0","0","1","1"
"UNITED KINGDOM","UK","0","726","1","0","727","29","0","5","34","761"
"UKRAINE","UKR","0","4","2","0","6","4","0","0","4","10"
"URUGUAY","URY","0","1","0","0","1","0","0","0","0","1"
"UNITED STATES OF AMERICA","US","6","13082","778","3867","17733","3879","865","5756","10500","28233"
"UNITED STATES/BRAZIL","USBZ","0","1","0","0","1","0","0","0","0","1"
"VENEZUELA","VENZ","0","3","0","0","3","0","0","0","0","3"
"VIETNAM","VTNM","0","3","0","0","3","2","0","0","2","5"
"Zimbabwe","ZWE","0","0","0","0","0","1","0","0","1","1"
"ALL","ALL","625","18636","2405","12471","34137","7498","4452","23265","35215","69352"
